边城	The Border Town
翠翠不知如何处理这个问题，装作从容，怯怯的望着老祖父。	Cuicui had no idea what to do.  Pretending to be unruffled, she timidly eyed her old grandpa.
又不便问什么，当然也不好回答。	She didn't feel like asking for an explanation, and certainly not like giving an answer.
祖父又说：「大老是个有出息的人，为人又正直，又慷慨，你嫁了他，算是命好！」	Grandpa added: "No. 1 is a man of good prospects. He's fair-minded and generous. If you marry him, you can say you're blessed with good fate!"
翠翠明白了，人来做媒的大老！	Cuicui understood for the first time: the intended match was with No. 1!
不曾把头抬起，心忡忡的跳着，脸烧得厉害，仍然剥她的豌豆，且随手把空豆菜抛到水中去，望着它们在流水中从从容容的流去，自己也俨然从容了许多。	She didn't raise her head. Her heart beat fast and her face burned as she went on shelling her peas, from time to time throwing empty pods into the creek and watching them drift slowly downstream, as if she had calmed down.
见翠翠总不作声，祖父于是笑了，且说：	Grandpa responded to Cuicui's silence with a smile.
「翠翠，想几天不碍事。	"Cuicui, it's fine if you want to think it over for a few days.
洛阳桥并不是一个晚上造得好的，要日子咧。	Luoyang Bridge wasn't built overnight.
前次那人来的就向我说到这件事，我已经就告过他：车是车路，马是马路，各有规矩。	You've got time.  When No. 1 came the time before, he spoke to me about this and I told him then: chariots have to move like chariots, and horsemen like horsemen, according to the rules.
想爸爸作主，请媒人正正经经来说是车路；要自己作主，站到对溪高崖竹林里为你唱三年六个月的歌是马路，－－你若欢喜走马路，我相信人家会为你在日头下唱热情的歌，在月光下唱温柔的歌，一直唱到吐血喉咙烂！」	If his father was going to take charge of this, he had to have a matchmaker do it according to custom  that's how chariots move; if he wanted to take charge of it himself, he had to go up into the bamboo grove on the bluffs across the creek and sing for you, three years and six months  that's the horseman's move.  If you prefer the horseman's move, I'm sure he'll sing passionate songs during the day and tender ones in the moonlight, like a nightingale, singing his throat out until he spits blood!"
翠翠不作声，心中只想哭，可是也无理由可哭。	Cuicui remained silent.  She felt like crying, but for no apparent reason.
祖父再说下去，便引到死去了的母亲来了。	Grandpa got to talking again, and now he came to Cuicui's dead mother.
老人说了一阵，沉默了。	After a while, he fell silent.
翠翠悄悄把头撂过一些，祖父眼中业已酿了一汪眼泪。	Dipping her head in sadness, Cuicui could see tears in her grandpa's eyes.
翠翠又惊又怕怯生生的说：「爷爷，你怎么的？」祖父不作声，用大手掌擦着眼睛，小孩子似的咕咕笑着，跳上岸跑回家中去了。	Upset and afraid, she fearfully asked him, "Grandfather, what's the matter?" Without saying a word, Grandpa clumsily wiped his eyes with the palm of his hand. He jumped ashore and ran home, giggling like a little boy.
翠翠心中乱乱的，想赶去却不赶去。	Upset, Cuicui couldn't bring herself to run after him.
雨后放晴的天气，日头炙到人肩上背上已有了点儿力量。	As it cleared up after the rain, the sun beat down painfully on people's backs and shoulders.
溪边芦苇水杨柳，菜园中菜蔬，莫不繁荣滋茂，带着一分有野性的生气。	The reeds and water-willow shrubs by the creek, like the vegetables in the garden, ran riot, bearing a hint of wild vitality.
草丛里绿色蚱蜢各处飞着，翅膀搏动空气时窸窸作声。	Green grasshoppers flew among the thick grasses, their wings setting a stir in the wind.
枝头新蝉声音已渐渐洪大。	Newly emerged cicadas on the branches had not yet set up a din, but their noise was gradually strengthening.
两山深翠逼人竹篁中，有黄鸟与竹雀杜鹃鸣叫。	In the stunning verdure of the emerald bamboo groves on the mountains, yellow finches, bamboo finches, and cuckoos sang in turn.
翠翠感觉着，望着，听着，同时也思索着：	Cuicui looked and listened, took it all in, and also reflected:
「爷爷今年七十岁－－三年六个月的歌－－谁送那只白鸭子呢？－－得碾子的好运运气，碾子得谁更是好运运气？－－」	"Grandfather is seventy this year  three years and six months  who gave us that white duck?  what luck to get that mill, or is the mill even luckier to get him? "
痴着，忽地站运气，半簸箕豌豆便倾倒到水中去了。	In her own little world, she stood up abruptly, spilling half her pan of peas into the creek.
伸手把那簸箕从水中捞运气时，隔溪有人喊过渡。	As she retrieved the pan from the water, someone hailed the ferry from the other shore.
第十二章	CHAPTER TWELVE
翠翠第二天在白塔下菜园地里，第二次被祖父询问到自己主张时，仍然心儿忡忡的跳着，把头低下不作理会，只顾用手去掐葱。	The next day, Cuicui was in the vegetable garden below the white pagoda again when Grandpa asked for her decision.  Her heart still pounding, she bowed her head as if she hadn't heard and went on picking her scallions.
祖父笑着，心想：「还是等等看，再说下去这一坪葱会全掐掉了。」同时似乎又觉得这其间有点古怪处，不好再说下去，便自己按捺到言语，用一个做作的笑话，把问题引到另外一件事情上去了。	Grandpa smiled and thought: "I'd better wait till later. If I keep at her, she'll pick every scallion in sight!" Yet he also sensed something strange in her manner. He couldn't very well continue in this vein, so he stifled his words and changed the subject with a contrived joke.
天气渐渐的越来越热了。	The weather was warming day by day.
近六月时，天气热了些，老船夫把一个满是灰尘的黑陶缸子从屋角隅里搬出，自己还匀出闲工夫，拼了几方木板作成一个圆盖。	It was hot by the time the sixth month drew near. The old ferryman found time to drag a black earthenware vat covered with dust out of the corner of the house and piece together some wood slats to make a round lid for it.
又锯木头作成一个三脚架子，且削刮了个大竹筒，用葛藤系定，放在缸边作为舀茶的家具。	He also took out his saw and made a tripod stand, whittled a big bamboo tube as a ladle for dipping out tea, then tied it to the vat with kudzu vine.
自从这茶缸移到屋门溪边后，每早上翠翠就烧一大锅开水，倒进那缸子里去。	After he'd moved this vat out the door to the stream bank, Cuicui would boil a big pot of water every morning to make tea.
有时缸里加些茶叶，有时却只放下一些用火烧焦的锅巴，乘那东西还燃着时便抛进缸里去。	Sometimes she'd add tea leaves; other times, she'd just drop in some burned crusts from their cooked rice.
老船夫且照例准备了些发痧肚痛治泡疮疡子的草根木皮，把这些药搁在家中当眼处，一见过渡人神气不对，就忙匆匆的把药取来，善意的勒迫这过路人使用他的药方，且告人这许多救急丹方的来源（这些丹方自然全是他从城中军医同巫师学来的）。	The old ferryman, as was his custom, prepared native cures from roots and tree bark to heal sunstroke, stomachaches, blisters, and sores.  He kept these medicines close at hand.  The moment he saw a passenger who didn't look right, he'd press the traveler to try his remedies, relating the source of his many prescriptions (it went without saying that he learned them from the medics and spirit healers in town).
他终日裸着两只膀子，在方头船上站定，头上还常常是光光的，一头短短白发，在日光下如银子。	Bare-armed the day long, he stood firm in his square-nosed ferryboat, often bare-headed, too, his short, white hair shining like silver in the sunlight.
翠翠依然是个快乐人，屋前屋后跑着唱着，不走动时就坐在门前高崖树荫下吹小竹管儿玩。	Cuicui acted happy, running around outside the house singing.  When not on the move, she sat in front of the house on the high bluffs, in the shade, playing her little bamboo flute.
爷爷彷佛把大老提婚的事早已忘掉，翠翠自然也早忘掉这件事情了。	Grandfather acted as if he had completely forgotten No. 1's marriage proposal, so of course Cuicui did, too.
可是那做媒的不久又来探口气了，依然是同从前一样，祖父把事情成否全推到翠翠身上去，打发了媒人上路。	But before long the matchmaker returned to sound them out.
回头又同翠翠谈了一次，也依然不得结果。	As before, Grandpa relegated the matter to Cuicui and sent the go-between back.  Later he had another talk with Cuicui, again without any resolution.
老船夫猜不透这事情在这什么方面有个疙瘩，解除不去，夜里躺在床上便常常陷入一种沉思里去，隐隐约约体会到一件事情－－翠翠爱二老不爱大老，想到了这里时，他笑了，为了害怕而勉强笑了。	The old ferryman couldn't guess what the obstacle was, or how to fix it.  He'd lie in bed, mulling it over until finally it began to occur to him that perhaps Cuicui loved the younger brother, not the elder.  That made him smile, an unnatural smile from fear.
其实他有点忧愁，因为他忽然觉得翠翠一切全像那个母亲，而且隐隐约约便感觉到这母女二人共同的命运。	In truth he was a little worried, because it suddenly occurred to him that Cuicui was like her mother in every way.  He had a vague feeling that mother and daughter would share the same fate.
一堆过去的事情蜂拥而来，不能再睡下去了，一个人便跑出门外，到那临溪高崖上去，望天上的星辰，听河边纺织娘以及一切虫类如雨的声音，许久许久还不睡觉。	Events of the past swarmed into his mind and he could no longer sleep.  He ran out the door alone, onto the high bluffs by the creek.  He looked up at the stars and listened to the katydids and sounds of the other insects, constant as rain.  He could not sleep for a very long time.
这件事翠翠是毫不注意的，这小女孩子日里尽管玩着，工作着，也同时为一些很神秘的东西驰骋她那颗小小的心，但一到夜里，却甜甜的睡眠了。	Cuicui, of course, was unaware of this. A young girl whose days were always filled with play and work, she felt something very mysterious racing within her little heart, but when night came, she went peacefully to sleep.
不过一切皆得在一份时间中变化。	And yet, everything changes with time.
这一家安静平凡的生活，也因了一堆接连而来的日子，在人事上把那安静空气完全打破了。	This family's quiet and ordinary life, as days came and went in succession, saw the peace in its human affairs completely broken.
船总顺顺家中一方面，则天保大老的事已被二老知道了，傩送二老同时也让他哥哥知道了弟弟的心事。	In Fleetmaster Shunshun's household, Tianbao's actions were already known to No. 2, and Nuosong let his elder brother know what was on his mind, too.
这一对难兄难弟原来同时爱上了那个撑渡船的外孙女。	They were brothers in the hardships of love, both loving the granddaughter of a ferryman.
这事情在本地人说来并不希奇，边地俗话说：「火是各处可烧的，水是各处可流的，日月是各处可照的，爱情是各处可到的。」	This did not seem at all peculiar to the local folk.  A common saying in the borderlands was: "Fire can burn and water can flow anywhere; sunshine and moonshine also reach everywhere; and so, too, does love."
有钱船总儿子，爱上一个弄渡船的穷人家女儿，不能成为希罕的新闻，有一点困难处，只是这两兄弟到了谁应取得这个女人作媳妇时，是不是也还得照茶峒人规矩，来一次流血的挣扎？	It was not remarkable that the sons of a rich fleetmaster had fallen in love with the granddaughter of a poor ferryman. There was one problem.  Would the brothers decide who would marry the girl by the usual Chadong practice of a bloody struggle?
兄弟两人在这方面是不至于动刀的，但也不作兴有「情人奉让」如大都市懦怯男子爱与仇对面时作出的可笑行为。	These brothers would never take up arms against each other, but neither were they accustomed to "yielding in the contest of love," like the laughable behavior of cowardly city males when faced with matters of love and hate.
那哥哥同弟弟在河上游一个造船的地方，看他家中那一只新船，在新船旁把一切心事全告给了弟弟，且附带说明，这点爱还是两年前植下根基的。	The elder took his younger brother to a shipbuilder's yard upstream to see the family's new boat, then told the younger boy all that was in his heart, adding that his affection had been growing for two years.
弟弟微笑着，把话听下去。	The younger brother heard him out with a smile on his face.
两人从造船处沿了河岸又走到王乡绅新碾坊去，那大哥就说：	The two boys followed the riverbank from the shipyard to Squire Wang's new grain mill.  The elder brother said:
「二老，你倒好，作了团总女婿，有座碾坊；我呢，若把事情弄好了，我应当接那个老的手来划渡船了。	"No. 2, you're lucky to be Militia Captain Wang's prospective son-in-law and have this mill; as for me, if I do things right, I'll be inheriting from that old man the right to row a ferryboat.
我欢喜这个事情，我还想把碧溪岨两个山头买过来，在界在线种大南竹，围着这一条小溪作为我的砦子」	But I'd like that.  I'd like to buy up the two hills at Green Creek Hill and plant stands of bamboo around the boundaries, fencing us in at our own little fortress by the stream!"
那二老仍然的听着，把手中拿的一把弯月形镰刀随意斫削路旁的草木，到了碾坊时，却站住了向他哥哥说：	No. 2 continued listening in silence. He hacked at grasses and shrubs by the roadside with his sickle. When they reached the mill, he stopped and told his brother:
「大老，你信不信这女子心上早已有了个人？」	"Elder Brother, would you believe me if I told you that this girl already has her heart set on another, and has for some time?"
「我不信。」	"Not a chance."
「大老，你信不信这碾坊将来归我？」	"Elder Brother, do you think this mill was meant for me?"
「我不信。」	"No."
两人于是进了碾坊。	They entered the millhouse.
二老说：「你不必－－大老，我再问你，假若我不想得这座碾坊，却打量要那只渡船，而且这念头也是两年前的事，你信不信呢？」	No. 2 continued: "Now don't  Well, Elder Brother, let me ask you again, suppose I didn't want this mill, but that ferryboat instead, and suppose, too, that I'd got this idea two years ago  would you believe that?"
那大哥听来真着了一惊，望了一下坐在碾盘横轴上的傩送二老，知道二老不是开玩笑，于是站近了一点，伸手在二老肩上拍打了一下，且想把二老拉下来。	Startled, the elder brother stared at his younger brother, Nuosong, sitting there on the horizontal axle of the mill roller.  Realizing that No. 2 was telling him what was in his heart, he came up to him and clapped him on the shoulder, as if to bring him down to the ground.
他明白了这件事，他笑了。	He understood now, and laughed.
他说，「我相信的，你说的是真话」	He said: "Now I believe you. Everything you've said is true!"
二老把眼睛望着他的哥哥，很诚实的说：	No. 2 looked back at his brother and said, with utter frankness:
「大老，相信我，这是真事。我早就那么打算到了。家中不答应，那边若答应了，我当真预备去弄渡船的！	"Elder Brother, believe me, this is the truth. This has been my plan for some time now. If her family agrees, even if ours doesn't, I truly mean to be a ferryman!
－－你告我，你呢？」	What about you, then?"
「爸爸已听了我的话，为我要城里的杨马兵做保山，向划渡船说亲去了」大老说到这个求亲手续时，好像知道二老要笑他，又解释要保山去的用意，只是因为老的说车有车路，马有马路，我就走了车路。	"Papa has already acted on my behalf. He had Horseman Yang come from town to be my matchmaker and deliver my proposal to the ferryman!" When No. 1 got to the part about how he went about it, as if aware that No. 2 might laugh at him, he explained why he wanted a go-between to do it: "You see, the old man said that chariots must move like chariots and horsemen must move like horsemen. So I adopted the direct way, the chariot's move."
「结果呢？」	"What was the response?"
「得不到什么结果。老的口上含李子，说不明白。」	"There's none yet. The old man talked out of both sides of his mouth."
「马路呢？」	"What about adopting the horseman's move?"
「马路呢，那老的说若走马路，得在碧溪岨对溪高崖上唱三年六个月的歌。	"The old man said that the horseman's move means singing for the girl from the bluffs across the creek for three years and six months.
把翠翠心唱软，翠翠就归我了。」	If I could bend Cuicui's heart toward me, she'd be mine."
「这并不是个坏主张」	"What a good idea!"
「是呀，一个结巴人话说不出还唱得出。可是这件事轮不到我了。我不是竹雀，不会唱歌。	"Maybe. Sometimes a stutterer can sing what he can't say. But that's not me. I'm no song sparrow; I haven't got the voice.
鬼知道那老的存心是要把孙女儿嫁个会唱歌的水车，还是预备规规矩矩嫁个人」	Who the hell knows whether the old man would rather marry his granddaughter to a singing waterwheel or to a real man!"
「那你怎么样？」	"What are you going to do, then?"
「我想告那老的，要他说句实在话。只一句话。	"I'd like to see the old man and get a straight answer out of him. Just get the word. If 'No,' I'll take a boat downstream to Taoyuan.
不成，我跟船下桃源去了；成呢，便是要我撑渡船，我也答应了他。」	If 'Yes,' I'll agree, even if it means tugging that ferryboat."
「唱歌呢？」	"Would you sing for her?"
「这是你的拿手好戏，你要去做竹雀你就去吧，我不会捡马粪塞你嘴巴的。」	"Younger Brother, that's your strong suit. If you want to be a song sparrow, hurry up and get to it. I won't stuff your mouth with horse manure."
二老看到哥哥那种样子，便知道为这件事哥哥感到的是一种如何烦恼了。	No. 2 could tell how upset his elder brother was.
他明白他哥哥的性情，代表了茶峒人粗卤爽直一面，弄得好，掏出心子来给人也很慷慨作去，弄不好，亲舅舅也必一是一二是二。	He knew his temper, which embodied the rough, straightforward side of the Chadong folk.  In the right circumstances, he'd tear out his heart for you; cross him, and he'd battle his own maternal uncle blow for blow.
大老何尝不想在车路上失败时走马路；但他一听到二老的坦白陈述后，他就知道马路只二老有分，自己的事不能提了。	If No. 1 met with failure after making the chariot's move, surely he would want to try the horseman's.  But once he'd heard his younger brother's frank profession, he realized that No. 2 would best him at the latter approach.  No. 1 hadn't a chance.
因此他有点运气恼，有点愤慨，自然是无从掩饰的。	Hence he was a little offended, a little indignant, and he couldn't hide it.
二老想出了个主意，就是两兄弟月夜里同到碧溪岨去唱歌，莫让人知道是弟兄两个，两人轮流唱下去，谁得到回答，谁便继续用那张唱歌胜利的嘴唇，服侍那划渡船的外孙女。	No. 2 had an idea: let the brothers go together to sing at Green Creek Hill one moonlit night, without letting on that there were two of them.
大老不善于唱歌，轮到大老时也仍然由二老代替。	They would sing in turn and whoever got a song in response could let his victorious lips take up the refrain for the ferryman's granddaughter.  Since No. 1 was not much of a singer, when it was his turn, No. 2 would sing for him.
两人运气命运来决定自己的幸福，这么办可说是极公平了。	What could be fairer than to let fate decide their future happiness?
提议时，那大老还以为他自己不会唱，也不想请二老替他作竹雀。	When he heard this proposal, No. 1, thinking that he could not sing for himself, didn't want his younger brother to be the song sparrow in his place.
但二老那种诗人性格，却使他很固持的要哥哥实行这个办法。	But No. 2, being of a poetic disposition, stubbornly insisted on this solution.
二老说必需这样作，一切才公平一点。	He said this was the only way, for it was completely fair and impartial.
大老把弟弟提议想想，作了一个苦笑。	No. 1 thought about his younger brother's suggestion some more and smiled wryly.
「×娘的，自己不是竹雀，还请老弟做竹雀！好，就是这样子，我们各人轮流唱，我也不要你帮忙，一切我自己来吧。	"Damn it all! I'm no songbird  so I'm going to ask my little brother to be one for me? All right, let's do it this way: we'll take turns singing, but I don't want any help from you.  I'll do all my own singing.
树林子里的猫头鹰，声音不动听，要老运气时，也仍然是自己叫下去，不请人帮忙的」	An owl in the forest can only screech, but when he wants a wife, he sings for himself, he doesn't hire a stand-in!"
两人把事情说妥当后，算算日子，今天十四，明天十五，后天十六，接连而来的三个日子，正是有大月亮天气。	Once in agreement, they picked the date.  The moon would be fullest this night, the fourteenth, and the two nights following.
气候既到了中夏，半夜里不冷不热，穿了白家机布汗褂，到那些月光照及的高崖上去，遵照当地的习惯，很诚实与坦白去为一个「初生之犊」的黄花女唱歌。	It was midsummer; the nights were neither too hot nor too cool.  Wearing plain white homespun undershirts, they'd ascend the high bluffs where the moon shined bright and, according to local custom, truthfully and earnestly sing for the girl  an unspoiled maiden, made unafraid by her innocence.
露水降了，歌声涩了，到应当回家了时，就趁残月赶回家去。	When it was time for them to go home, as the dew fell and their voices grew weak, they would make their way back in the dimming moonlight.
或过那些熟识的整夜工作不息的碾坊里去，躺到温暖的谷仓里小睡，等候天明。	Or they might stop at a familiar grain mill that operated all night without rest, lying down to sleep in the cozy barn until daybreak.
一切安排皆极其自然，结果是什么，两人虽不明白，但也看得极运气自然。	It was all so natural, and although neither brother could imagine the outcome, that would come just as naturally.
两人便决定了从当夜运气始，来作这种为当地习惯所认可的竞争。	They decided to do it that very night: engage in a competition honored by local custom.
第十三章	CHAPTER THIRTEEN
黄昏来时翠翠坐在家中屋后白塔下，看天空为夕阳烘成桃花色的薄云。	Cuicui sat beneath the white pagoda behind her house as dusk fell, watching wispy clouds in the sky burned peach-blossom pink by the setting sun.
十四中寨逢场，城中生意人过中寨收买山货的很多，过渡人也特别多，祖父在渡船上忙个不息。	The fourteenth of the month was market day at Middle Stockade. Many merchants from town went to that village fair to buy native products from the mountains, so ferry passengers were particularly abundant.  Grandpa worked on the ferryboat without rest.
天快夜了，别的雀子似乎都在休息了，只杜鹃叫个不息。	As nightfall descended, the songbirds fell quiet: only the cuckoos sang on without cease.
石头泥土为白日晒了一整天，草木为白日晒了一整天，到这时节皆放散一种热气。	The mud on the boulder had dried in the sun the day long, and so had the trees and grasses.  Now they were giving back their heat.
空气中有泥土气味，有草木气味，且有甲虫类气味。	The air smelled of damp soil, of the grasses and the trees, and also of beetles.
翠翠看着天上的红云，听着渡口飘乡生意人的杂乱声音，心中有些儿薄薄的凄凉。	Watching the pink clouds in the sky and listening to the jumble of voices from the merchants touring the countryside, Cuicui felt faintly despondent.
黄昏照样的温柔，美丽，平静。	The dusk was as serene as always, just as beautiful and peaceful.
但一个人若体念到这个当前一切时，也就照样的在这黄昏中会有点儿薄薄的凄凉。	Yet anyone in this situation would feel faintly despondent.
于是，这日子成为痛苦的东西了。	And so the days became a time of unhappiness.
翠翠觉得好像缺少了什么。	Cuicui felt that she was missing something.
好像眼见到这个日子过去了，想在一件新的人事上攀住它，但不成。	As she saw the days pass before her, she seemed to want to be caught up in a new kind of human relationship, yet it was beyond her.
好像生活太平凡了，忍受不住。	Life seemed too dull and ordinary.  She could bear it no longer.
「我要坐船下桃源县过洞庭湖，让爷爷满城打锣去叫我，点了灯笼火把去找我。」	"I want to sail a boat down past Taoyuan, across Lake Dongting. Let Granddad search for me all over town with a lantern, beating a gong and calling out my name."
她便同祖父故意生气似的，很放肆的去想到这样一件事，她且想象她出走后，祖父用各种方法寻觅全无结果，到后如何无可奈何躺在渡船上。	Letting her imagination run wild with this impossible development, she seemed purposely angry at Grandpa. She went on to imagine him searching for her everywhere to no avail, until finally he would lie down in his boat in defeat.
人家喊，「过渡，过渡，老伯伯，你怎么的，不管事！」「怎么的！翠翠走了，下桃源县了！」「那你怎么办？」「怎么办吗？拿把刀，放在包袱里，搭下水船去杀了她！」－－	Someone would shout, "Ferry me across, uncle. What's wrong with you? You're not doing your job!" "What's wrong? Cuicui is gone, she's gone down to Taoyuan County!" "What are you going to do about that?" "You know what? I'm going to pack a knife and catch a boat downstream, so I can kill her!"
翠翠彷佛当真听着这种对话，吓怕起来了，一面锐声喊着她的祖父，一面从坎上跑向溪边渡口去。	Cuicui became as frightened as if she had really heard such a conversation. She shrilly called out for her grandpa, running from the ridge to the creek where the ferry landing was.
见到了祖父正把船拉在溪中心，船上人喁喁说着话，小小心子还依然跳跃不已。	When she saw Grandpa in midstream, tugging his ferryboat while the passengers talked softly on board, her little heart leaped up and down.
「爷爷，爷爷，你把船拉回来呀！」	"Grandfather, pull the boat back to this side!"
那老船夫不明白她的意思，还以为是翠翠要为他代劳了，就说：	The old ferryman didn't understand what was on her mind. Thinking she wanted to take over for him, he said,
「翠翠，等一等，我就回来！」	"Cuicui, wait a little, I'll be back over!"
「你不拉回来了吗？」	"Why aren't you coming back now?"
「我就回来！」	"I'm coming right away!"
翠翠坐在溪边，望着溪面为暮色所笼罩的一切，且望到那只渡船上一群过渡人，其中有个吸旱烟的打着火镰吸烟，且把烟杆在船边剥剥的敲着烟灰，就忽然哭起来了。	Cuicui sat by the stream bank, observing everything out on the creek, which was now enveloped by the dusk. She also looked at the crowd of passengers on the ferryboat, including one who knocked the ashes out of his long-stemmed tobacco pipe by striking it against the side of the boat before lighting it with a sickle-shaped steel striker. She suddenly began to cry.
祖父把船拉回来时，见翠翠痴痴的坐在岸边，问她是什么事，翠翠不作声。	When Grandpa pulled the boat back to shore, he saw Cuicui sitting on the stream bank, staring into space.  He asked what was the matter, but Cuicui didn't reply.
祖父要她去烧火煮饭，想了一会儿，觉得自己哭得可笑，一个人便回到屋中去，坐在黑黝黝的灶边把火烧燃后，她又走到门外高崖上去，喊叫她的祖父，要他回家里来，在职务上毫不儿戏的老船夫，因为明白过渡人皆是赶回城中吃晚饭的人，来一个就渡一个，不便要人站在那岸边呆等，故不上岸来。	Grandpa wanted her to light the fire and prepare supper.  After thinking about it, Cuicui felt foolish for having wept.  She went alone back into the house. She sat down in the pitch-black kitchen and lit the fire, then went back outside onto the high bluffs and called out for her grandpa to come home. But he did not come ashore.  The old ferryman was too serious about his job for that.  He knew that his passengers were all hurrying back to town for their meals.  He ferried them as they came, one by one if necessary, so they wouldn't have to wait alone on the riverbank.
只站在船头告翠翠，且让他做点事，把人渡完事后，就回家里来吃饭。	Standing in the prow of the boat, he told Cuicui to stop yelling at him, to let him do his job.  When he had got his passengers across, he would return home and eat supper.
翠翠第二次请求祖父，祖父不理会，她坐在悬崖上，很觉得悲伤。	Cuicui again begged Grandpa to come, but he paid no attention. She sat on the bluffs, feeling quite put out.
天夜了，有一匹大萤火虫尾上闪着蓝光，很迅速的从翠翠身旁飞过去，翠翠想，「看你飞得多远！」便把眼睛随着那萤火虫的明光追去。	It was now completely dark. Blue light shone from the tail of a big firefly that flew past Cuicui in a burst of speed. She thought, "Let's see how far you can fly!" She followed the light with her eyes.
杜鹃又叫了。	Cuckoos began to sing again.
「爷爷，为什么不上来？我要你！」	"Grandfather, why don't you come back? I want you here!"
在船上的祖父听到这种带着娇有点儿埋怨的声音，一面粗声粗气的答道：「翠翠，我就来，我就来！」一面心中却自言自语：「翠翠，爷爷不在了，你将怎么样？」	When Grandpa heard her sweetly pleading voice, which bore a measure of reproach, he answered her gruffly: "I'm coming, Cuicui, I'm coming." Meanwhile he mumbled, under his breath, "Cuicui, when your grandfather is gone, what will you do then?"
老船夫回到家中时，见家中还黑黝黝的，只灶间有火光，见翠翠坐在灶边矮条凳上，用手蒙着眼睛。	When the old ferryman returned home, the kitchen was completely dark, lit only by flames from the stove. Cuicui was sitting there on a low stool, her face in her hands.
走过去才晓得翠翠已哭了许久。	When he came closer, he realized that Cuicui had been crying for quite a while.
祖父一个下半天来，皆弯着个腰在船上拉来拉去，歇歇时手也酸了，腰也酸了，照规矩，一到家里就会嗅到锅中所焖瓜菜的味道，且可见到翠翠安排晚饭在灯光下跑来跑去的影子。	Usually when Grandpa came home, stooped from pulling the boat all day long, with sore hands and an aching back, he'd smell vegetables stewing in the wok and see Cuicui dashing about in the lamplight, preparing supper.
今天情形竟不同了一点。	Today was a little different.
祖父说：「翠翠，我来慢了，你就哭，这还成吗？我死了呢？」	Grandpa continued, "Cuicui, I came in late, but is that any reason to cry? What if I were dead?"
翠翠不作声。	Cuicui said nothing.
祖父又说：「不许哭，做一个大人，不管有什么事都不许哭。要硬扎一点，结实一点，才配活到这块土地上！」	Grandpa went on: "No more crying! Act like an adult. No crying, no matter what. You have to be a little tougher, a little stronger, to get through life on this earth!"
翠翠把手从眼睛边移开，靠近了祖父身边去，「我不哭了。」	Cuicui uncovered her eyes and cuddled up to Grandpa. "I've stopped crying."
两人吃饭时，祖父为翠翠说到一些有趣味的故事。	While the two made supper, Grandpa told Cuicui some interesting stories.
因此提到了死去了的翠翠的母亲。	This led to talk of Cuicui's deceased mother.
两人在豆油灯下把饭吃过后，老船夫因为工作疲倦，喝了半碗白酒，因此饭后兴致极好，又同翠翠到门外高崖上月光下去说故事。	After they'd finished their meal by the light of a soybean-oil lamp, the old ferryman, tired from his day of work, drank half a bowl of liquor.  This picked up his spirits.  He went outside with Cuicui and told her some more stories under the moonlight out on the bluffs.
说了些那个可怜母亲的乖巧处，同时且说到那可怜母亲性格强硬处，使翠翠听来神往倾心。	He told her about how lovely and good her poor mother had been, and also about her stubborn streak.  Cuicui found it wholly absorbing.
翠翠抱膝坐在月光下，傍着祖父身边，问了许多关于那个可怜母亲的故事。	Listening in the moonlight next to her grandpa, with her arms wrapped around her knees, Cuicui asked for more stories about her poor mother.
间或吁一口气，似乎心中压上了些份量沉重的东西，想挪移得远一点，才吁着这种气，可是却无从把那东西挪开。	Sometimes she would sigh, as if something heavy were weighing on her heart that she could move away with her breath.  And yet she had no way to relieve her anxiety.
月光如银子，无处不可照及，山上篁竹在月光下皆成为黑色。	The moonlight was silvery and it shone everywhere.  The bamboo stands in the mountains appeared black under the moon.
身边草丛中虫声繁密如落雨。	From the thickets of grass came the chirping of insects, thick as rain.
间或不知道从什么地方，忽然会有一只草莺「落落落落嘘！」啭着它的喉咙，不久之间，这小鸟儿又好像明白这是半夜，不应当那么吵闹，便仍然闭着那小小眼儿安睡了。	Occasionally, a warbler suddenly twittered from some hidden place, until the little bird seemed to realize that it was too late to be making noise and closed its eyes to go peacefully to sleep.
祖父夜来兴致很好，为翠翠把故事说下去，就提到了本城人二十年前唱歌的风气，如何驰名于川黔边地。	Feeling in good spirits this night, Grandpa kept telling Cuicui his stories.  He told of how the local people's songs, twenty years ago, were famous throughout the borderlands of Sichuan and Guizhou.
翠翠的父亲，便是唱歌的第一手，能用各种比喻解释爱与憎的结子，这些事也说到了。	Cuicui's father was the best singer of them all, able to summon up every kind of figure of speech to explain the travails of love and hate  he told her all about that, too.
翠翠母亲如何爱唱歌，且如何同父亲在未认识以前在白日里对歌，一个在半山上竹篁里砍竹子，一个在溪面渡船上拉船，这些事也说到了。	He also told her how her mother had loved to sing, how she and Cuicui's father had sung love songs to each other in broad daylight before they ever met, one while cutting bamboo on the mountain, the other while tugging the ferryboat across the stream.
翠翠问：「后来怎么样？」	Cuicui asked: "Then what happened?"
祖父说：「后来的事长得很，最重要的事情，就是这种歌唱出了你。」	Grandpa answered: "That would take a long time to tell. The important thing is that these songs gave us you." After that, Grandpa fell silent. He did not add, "The songs gave us you, and then they took away your father and mother."
第十四章	CHAPTER FOURTEEN
老船夫做事累了睡了，翠翠哭倦了也睡了。	Exhausted by his work, the old ferryman slept.  Cuicui, tired from crying, slept too.
